CustomerID,Age,Annual Income(k$),Spending Score (1-100)
1,19,15,39
2,21,15,81
3,20,16,6
4,23,16,77
5,31,17,40
6,22,17,76
7,35,18,6
8,23,18,94
9,64,19,3
10,30,19,72
11,67,19,14
12,35,19,99
13,58,20,15
14,24,20,77
15,37,20,13
16,22,20,79
17,35,21,35
18,20,21,66
19,52,23,29
20,35,23,98
21,35,24,35
22,25,24,73
23,46,25,5
24,31,25,73
25,54,28,14
26,29,28,82
27,45,28,32
28,35,28,61
29,40,29,31
30,23,29,87
31,60,30,4
32,21,30,73
33,53,33,4
34,18,33,92
35,49,33,14
36,21,33,81
37,42,34,17
38,30,34,73
39,36,37,26
40,20,37,75
41,65,38,35
42,24,38,92
43,48,39,36
44,31,39,61
45,49,39,28
46,24,39,65
47,50,40,55
48,27,40,47
49,29,40,42
50,31,40,42
